Name,Team,GS,G,IP,W,L,QS,SV,HLD,H,ER,HR,SO,BB,K/9,BB/9,K/BB,HR/9,AVG,WHIP,BABIP,LOB%,ERA,FIP,ADP
Aaron Nola,PHI,30,30,180.2,12,8,,0,0,165,77,20,188,36,9.36,1.79,5.22,1,0.238,1.11,0.299,68.20%,3.84,3.31,53
Spencer Strider,ATL,28,30,161.2,15,6,,0,0,122,59,19,234,49,13.02,2.73,4.78,1.06,0.204,1.06,0.298,74.10%,3.28,2.96,7.1
Zack Wheeler,PHI,29,29,172,11,7,,0,0,155,69,16,172,48,9,2.51,3.58,0.84,0.236,1.18,0.296,70.90%,3.61,3.42,24
Logan Webb,SFG,31,31,192,13,9,,0,0,181,71,16,166,41,7.78,1.92,4.05,0.75,0.245,1.16,0.296,72.60%,3.33,3.36,57.4
Corbin Burnes,BAL,30,30,179.1,10,7,,0,0,145,69,16,191,55,9.59,2.76,3.47,0.8,0.217,1.12,0.28,70.40%,3.46,3.34,22
Sandy Alcantara,MIA,29,29,191.1,11,9,,0,0,174,75,19,172,45,8.09,2.12,3.82,0.89,0.238,1.14,0.288,71.70%,3.53,3.56,999
Luis Castillo,SEA,30,30,176.1,12,8,,0,0,146,64,18,187,52,9.55,2.65,3.6,0.92,0.221,1.12,0.281,74.70%,3.27,3.45,29.2
Yoshinobu Yamamoto,LAD,26,26,171.1,14,7,,0,0,130,69,21,168,36,8.83,1.89,4.67,1.1,0.21,0.97,0.254,66.60%,3.63,3.61,44
Kevin Gausman,TOR,29,29,169,12,7,,0,0,158,65,22,184,40,9.8,2.13,4.6,1.17,0.241,1.17,0.302,76.60%,3.46,3.53,28
Pablo López,MIN,30,30,173.2,10,7,,0,0,152,71,20,189,45,9.79,2.33,4.2,1.04,0.23,1.13,0.292,71.00%,3.68,3.51,35.1
Gerrit Cole,NYY,30,30,186.1,11,8,,0,0,159,73,26,201,50,9.71,2.42,4.02,1.26,0.226,1.12,0.28,75.30%,3.53,3.78,12.9
